reporting_year,section,subsection,question_index,upper_question_text,question_text,additional_question_info_1,additional_question_info_2,response_type,response
2023-24,Harm Prevention,Domestic Violence,DV.Mch.ClaEnt.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,A domestic violence clause is in an enterprise agreement or workplace agreement
2023-24,Harm Prevention,Domestic Violence,DV.Mch.EAP.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,"Employee assistance program (including access to psychologist, chaplain or counsellor)"
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Oth.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Other
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Dis.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Protection from any adverse action or discrimination based on the disclosure of domestic violence
2023-24,Harm Prevention,Domestic Violence,DV.Mch.Trn.Y,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,5.12 Do you have the following support mechanisms in place to support employees who are experiencing family or domestic violence?,NA,NA,Option,Training of key personnel
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.N,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,No
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.N.Dev,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Currently under development
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.N.Dev.Date,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Date,NA
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.N.Oth,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Other
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Yes
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.CSal,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Analysed commencement salaries by gender to ensure there are no pay gaps
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.Clik,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Corrected instances of unequal pay’
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.IdGp,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Identified cause/s of the gaps
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.JbEv,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Conducted a gender-based job evaluation process
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.Oth,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Implemented other changes (provide details):
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.PEq,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Created a pay equity strategy or action plan
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.PEqEm,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Reported pay equity metrics (including gender pay gaps) to all employees
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.PEqEx,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Reported pay equity metrics (including gender pay gaps) to the executive
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.PEqGB,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Reported pay equity metrics (including gender pay gaps) to the governing body
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.PEqPub,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Reported pay equity metrics (including gender pay gaps) externally
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.PMBi,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Trained people-managers in addressing gender bias (including unconscious bias)
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.PPY,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Analysed performance pay to ensure there is no gender bias (including unconscious bias)
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.PRat,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Analysed performance ratings to ensure there is no gender bias (including unconscious bias)
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.RRem,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Reviewed remuneration decision-making processes
2023-24,Action on gender equality,Gender Pay Gap,EAct.Act.Y.TOrg,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2c Did you take any actions as a result of your gender remuneration gap analysis?,NA,NA,Option,Set targets to reduce any gender pay gaps
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.N,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,NA,NA,Option,No
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.N.Dev,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,NA,NA,Option,Currently under development
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.N.Dev.Date,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,NA,NA,Date,NA
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.N.Oth,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,NA,NA,Option,Other
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.Y,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,NA,NA,Option,Yes
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.Y.1T2,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2b When was the most recent gender remuneration gap analysis undertaken?,NA,NA,Option,Within the last 1-2 years
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.Y.2T4,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2b When was the most recent gender remuneration gap analysis undertaken?,NA,NA,Option,More than 2 years ago but less than 4 years ago
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.Y.L12,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2b When was the most recent gender remuneration gap analysis undertaken?,NA,NA,Option,Within the last 12 months
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.Y.Oth,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2b When was the most recent gender remuneration gap analysis undertaken?,NA,NA,Option,Other
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.Y.Typ.LfL,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2a What type of gender remuneration gap analysis has been undertaken?,NA,NA,Option,A like-for-like gap analysis which compares the same or similar roles of equal or comparable value
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.Y.Typ.OrgW,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2a What type of gender remuneration gap analysis has been undertaken?,NA,NA,Option,An overall gender pay gap analysis which compares the difference between women’s and men’s average pay and composition across the whole organisation
2023-24,Action on gender equality,Gender Pay Gap,EAct.Anl.Y.Typ.ByL,2.2 Have you analysed your payroll to determine if there are any remuneration gaps between women and men (e.g. conducted a gender pay gap analysis)?,2.2a What type of gender remuneration gap analysis has been undertaken?,NA,NA,Option,A by-level gap analysis which compares the difference between women’s and men’s average pay within the same employee category
2023-24,Action on gender equality,Employee Consultation,ECon.Cons.N,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,NA,NA,Option,No
2023-24,Action on gender equality,Employee Consultation,ECon.Cons.Y,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,NA,NA,Option,Yes
2023-24,Action on gender equality,Employee Consultation,ECon.Cons.Y.Con,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4a How did you consult employees?,NA,NA,Option,Consultative committee or group
2023-24,Action on gender equality,Employee Consultation,ECon.Cons.Y.How.Exit,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4a How did you consult employees?,NA,NA,Option,Exit interviews
2023-24,Action on gender equality,Employee Consultation,ECon.Cons.Y.Foc,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4a How did you consult employees?,NA,NA,Option,Focus groups
2023-24,Action on gender equality,Employee Consultation,ECon.Cons.Y.Oth,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4a How did you consult employees?,NA,NA,Option,Other
2023-24,Action on gender equality,Employee Consultation,ECon.Cons.Y.PerDis,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4a How did you consult employees?,NA,NA,Option,Performance discussions
2023-24,Action on gender equality,Employee Consultation,ECon.Cons.Y.Sur,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4a How did you consult employees?,NA,NA,Option,Employee experience survey
2023-24,Action on gender equality,Employee Consultation,ECon.Who.All,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4b Who did you consult?,NA,NA,Option,All staff
2023-24,Action on gender equality,Employee Consultation,ECon.Who.Div,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4b Who did you consult?,NA,NA,Option,Diversity committee or equivalent
2023-24,Action on gender equality,Employee Consultation,ECon.Who.EmpRep,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4b Who did you consult?,NA,NA,Option,Employee representative group(s)
2023-24,Action on gender equality,Employee Consultation,ECon.Who.HRMan,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4b Who did you consult?,NA,NA,Option,Human resources managers
2023-24,Action on gender equality,Employee Consultation,ECon.Who.Mang,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4b Who did you consult?,NA,NA,Option,Management
2023-24,Action on gender equality,Employee Consultation,ECon.Who.Oth,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4b Who did you consult?,NA,NA,Option,Other
2023-24,Action on gender equality,Employee Consultation,ECon.Who.ResPpl,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4b Who did you consult?,NA,NA,Option,Women and men who have resigned while on parental leave
2023-24,Action on gender equality,Employee Consultation,ECon.Who.Wom,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4b Who did you consult?,NA,NA,Option,Women only
2023-24,Action on gender equality,Employee Consultation,Econ.Cons.N.Dev,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,NA,NA,Option,Currently under development
2023-24,Action on gender equality,Employee Consultation,Econ.Cons.N.Dev.Det,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,NA,NA,Date,NA
2023-24,Action on gender equality,Employee Consultation,ECon.Cons.N.Oth,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,2.4 Have you consulted with employees on issues concerning gender equality in your workplace during the reporting period?,NA,NA,Option,Other
2023-24,Action on gender equality,Employee Consultation,Econ.Pol.N,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,NA,NA,Option,No
2023-24,Action on gender equality,Employee Consultation,Econ.Pol.N.Dev,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,NA,NA,Option,Currently under development
2023-24,Action on gender equality,Employee Consultation,Econ.Pol.N.Dev.Date,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,NA,NA,Date,NA
2023-24,Action on gender equality,Employee Consultation,Econ.Pol.N.Otr,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,NA,NA,Option,Other
2023-24,Action on gender equality,Employee Consultation,Econ.Pol.Y,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,NA,NA,Option,Yes
2023-24,Action on gender equality,Employee Consultation,Econ.Pol.Y.Pol,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,NA,NA,Option,Policy
2023-24,Action on gender equality,Employee Consultation,Econ.Pol.Y.Strat,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,2.5 Do you have formal policies and/or formal strategies in place to ensure employees are consulted and have input on issues concerning gender equality in the workplace?,NA,NA,Option,Strategy
2023-24,Flexible work,Flexible Working,FW.All.N,3.3 Managers receive appropriate support to conduct performance evaluations that are not influenced by the work location of the employee,3.3 Managers receive appropriate support to conduct performance evaluations that are not influenced by the work location of the employee,NA,NA,Option,No
2023-24,Flexible work,Flexible Working,FW.All.N,3.4 Additional information relating to flexible working and gender equality in the workplace.,3.4 Additional information relating to flexible working and gender equality in the workplace.,NA,NA,Option,No
2023-24,Flexible work,Flexible Working,FW.All.Y,3.3 Managers receive appropriate support to conduct performance evaluations that are not influenced by the work location of the employee,3.3 Managers receive appropriate support to conduct performance evaluations that are not influenced by the work location of the employee,NA,NA,Option,Yes
2023-24,Flexible work,Flexible Working,FW.All.Y,3.4 Additional information relating to flexible working and gender equality in the workplace.,3.4 Additional information relating to flexible working and gender equality in the workplace.,NA,NA,Option,Yes
2023-24,Flexible work,Flexible Working,FW.FlexOpt.CWW.MFO,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,Manager,Option,Compressed working weeks
2023-24,Flexible work,Flexible Working,FW.FlexOpt.CWW.MIO,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,Manager - informal,Option,Compressed working weeks
2023-24,Flexible work,Flexible Working,FW.FlexOpt.CWW.N,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,No,Option,Compressed working weeks
2023-24,Flexible work,Flexible Working,FW.FlexOpt.CWW.NMFO,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,Non-manager,Option,Compressed working weeks
2023-24,Flexible work,Flexible Working,FW.FlexOpt.CWW.NMIO,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,Non-manager - informal,Option,Compressed working weeks
2023-24,Flexible work,Flexible Working,FW.FlexOpt.FW.MFO,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,Manager,Option,Flexible hours of work
2023-24,Flexible work,Flexible Working,FW.FlexOpt.FW.MIO,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,Manager - informal,Option,Flexible hours of work
2023-24,Flexible work,Flexible Working,FW.FlexOpt.FW.N,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,No,Option,Flexible hours of work
2023-24,Flexible work,Flexible Working,FW.FlexOpt.FW.NMFO,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,Non-manager,Option,Flexible hours of work
2023-24,Flexible work,Flexible Working,FW.FlexOpt.JbShr.MFO,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,3.2 Do you offer any of the following flexible working options to MANAGERS and/or NON-MANAGERS in your workplace?,NA,Manager,Option,Job sharing
